,Fundo,Emissão,Preço,DatadeEncerramento,CaptaçãoFinal,ResultadodoRateio,TipodeOferta,DatadeConversão,LiberaçãodoLockup,YouTube,Database,PeríododeNegociação,PeríododePreferência,PeríododeSobras,PeríodoPúblico,ProporçãodePreferência,ProporçãodeSobras,InvestimentoMínimo,CaptaçãoMínima,CaptaçãoMáxima,CoordenadorLíder,MétododeRateio,Observações,Documentação,PreçoTotalM
0,AFCR11,2ª,"R$ 105,90",22.12.20,"R$ 52.766.325,12",,Oferta Restrita (ICVM 476),14.01.21,24.03.21,,19.11.20,Não há,24.11 até 04.12.20Liquidação: 07.12.20,09.12 até 14.12.20Liquidação: 21.12.20,Não há,"1,46950348 (146,95%)","7,643639338 (764,36%)",Não há,"R$ 30.000.000,00","R$ 119.999.910,40 (R$ 100.000.000,00 + Lote Adicional de R$ 19.999.910,40)",Banco Andbank,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=127267&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=127265&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=135505&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=137999&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 105,90 (Cota de R$ 101,76 + Taxa de R$ 4,14)"
1,AFCR11,3ª,"R$ 105,72",06.09.21,"R$ 33.581.856,18",,Oferta Restrita (ICVM 476),21.09.21,,,27.07.21,Não há,30.07 até 11.08.21Liquidação: 12.08.21,16.08 até 19.08.21Liquidação: 26.08.21,Não há,"0,820046679 (82%)","4,131949315 (413,19%)",Não há,"R$ 30.000.050,35","R$ 100.000.099,36",Banco Andbank (Brasil) S.A.,Proporcional,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196192&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196915&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado de Modificação da Oferta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196916&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197476&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=204544&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=211394&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=215467&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 105,72 (Cota de R$ 102,71 + Taxa de R$ 3,01)"
2,AFHI11,1ª,"R$ 100,00",04.03.21,"R$ 178.767.100,00",,Oferta Pública (ICVM 400),05.04.21,Não há,,Não há,Não há,Não há,Não há,27.01 até 25.02.21Liquidação: 03.03.21,Não há,Não há,"R$ 25.000,00 (250 cotas)","R$ 50.000.000,00","R$ 240.000.000,00 (R$ 200.000.000,00 + Lote Adicional de R$ 40.000.000,00)",XP Investimentos,Igualitário (Linear),,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=151025&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=151024&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=152529&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=158701&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão de Cotas</a></td>","R$ 100,00 (Cota de R$ 96,29 + Taxa de R$ 3,71)"
3,AFOF11,3ª,"R$ 104,47",28.06.21,"R$ 33.855.383,96",,Oferta Pública (ICVM 400),,Não há,,21.05.21,28.05 até 08.06.21,28.05 até 10.06.21Liquidação: 11.06.21,Não há,28.05 até 21.06.21Liquidação: 25.06.21,"3,26865037426 (326,87%)",Não há,"R$ 10.447,00 (100 cotas)","R$ 30.000.000,00","R$ 144.000.000,00 (R$ 120.000.000,00 + Lote Adicional de R$ 24.000.000,00)",XP Investimentos,Igualitário (Linear),,"<td><a href=""http://sistemas.cvm.gov.br/dados/ofeanal/RJ-2020-04506/20210319_Prospecto.pdf"" rel=""noopener noreferrer"" target=""_blank"">Minuta do Prospecto</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=178274&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=178486&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=178519&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188159&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=189028&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 104,47 (Cota de R$ 100,00 + Taxa de R$ 4,47)"
4,AIEC11,1ª,"R$ 1,00",08.09.20,,,Oferta Pública (ICVM 400),16.10.20,Não há,,Não há,Não há,Não há,Não há,29.07 até 25.08.20Liquidação: 02.09.20,Não há,Não há,"R$ 1.000,00 (1000 cotas)","R$ 480.000.000,00","R$ 576.000.000,00 (R$ 480.000.000,00 + Lote Adicional de R$ 96.000.000,00)",Banco J. Safra,Proporcional,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=120864&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão de Recibos</a></td>","R$ 1,00"
5,ALZR11,3ª,"R$ 115,01",,,,Oferta Restrita (ICVM 476),23.09.20,,,26.06.20,Não há,15.07 até 27.07.20Liquidação: 28.07.20,29.07 até 03.08.20Liquidação: 07.08.20,Não há,"0,4714 (47,14%)",,Não há,"R$ 1.112.100,00","R$ 180.000.057,60 (R$ 150.000.048,00 + Lote Adicional de R$ 30.000.009,60)",BTG Pactual,Não há,,,"R$ 115,01 (Cota de R$ 111,21 + Taxa de R$ 3,80)"
6,ALZR11,4ª,"R$ 117,19",09.08.21,"R$ 163.611.412,34",,Oferta Restrita (ICVM 476),24.08.21,,,08.06.21,Não há,10.06 até 22.06.21Liquidação: 23.06.21,25.06 até 30.06.21Liquidação: 07.07.21,Não há,"0,44647999635 (44,65%)","3,38575203323 (338,58%)",Não há,"R$ 10.000.127,98","R$ 272.208.000,00 (R$ 226.840.000,00 + Lote Adicional de R$ 45.368.000,00)",BTG Pactual,,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166890&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proposta do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166888&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Carta Consulta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=181320&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=182930&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188422&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=201594&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""hhttps://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=202760&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207944&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207927&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 117,19 (Cota de R$ 113,42 + Taxa de R$ 3,77)"
7,ARCT11,3ª,"R$ 1.036,10",11.11.20,"R$ 20.081.000,00",,Oferta Restrita (ICVM 476),16.12.20,03.02.21,,09.09.20,Não há,10.09 até 22.09.20Liquidação: 23.09.20,Não há,Não há,"4,2865 (428,65%)",Não há,Não há,"R$ 20.000.000,00","R$ 120.000.000,00 (R$ 100.000.000,00 + Lote Adicional de R$ 20.000.000,00)",XP Investimentos,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115065&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115077&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115636&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115635&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante (Retificação)</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115634&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador (Retificação)</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=125565&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=132713&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 1.036,10 (Cota de R$ 1.000,00 + Taxa de R$ 36,10)"
8,ARCT11,4ª,"R$ 106,86",22.04.21,"R$ 120.000.089,52",,Oferta Restrita (ICVM 476),20.05.21,Não há,,18.03.21,Não há,22.03 até 01.04.21Liquidação: 05.04.21,07.04 até 13.04.21Liquidação: 20.04.21,Não há,"2,68018428933 (268,02%)","0,72722385816 (72,72%)",Não há,"R$ 30.000.022,38","R$ 120.000.089,52",XP Investimentos,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=156367&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=156365&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=156545&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=161207&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166646&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=176183&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 106,86 (Cota de R$ 103,14 + Taxa de R$ 3,72)"
9,ARRI11,1ª,"R$ 100,00",,,,Oferta Pública (ICVM 400),,,,Não há,Não há,Não há,Não há,13.09 até 25.10.19Liquidação: 31.10.19,Não há,Não há,"R$ 1.000,00 ( cotas)","R$ 30.000.000,00","R$ 144.000.000,00 (R$ 120.000.000,00 + Lote Adicional de R$ 24.000.000,00)",,,,,"R$ 100,00 (Cota de R$ 100,00 + Taxa de R$ 0,00)"
